,chemical_formula,smiles,casnum,molecular_weight,species,algea_EC50,units,source,foreign_key
535,C13H28O,CCCCCCCCCCCCCO,112-70-9,200.3608245849609,algea,-2.9759296462578115,log(mg/L),"NITE, VEGA, Literature set",1154
536,C34H58O4,CCCCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCCCCC,119-06-2,530.8218994140625,algea,3.9127627317631464,log(mg/L),Literature set,7690
537,C12H27O4P,CCCCCCCCCCCCOP(=O)(O)O,50957-96-5,266.31414794921875,algea,2.772588722239781,log(mg/L),NITE,7691
538,C15H34N,CCCCCCCCCCCC[N+](C)(C)C,1119-94-4,228.43716430664062,algea,-2.815078773860733,log(mg/L),ECHA,7692
539,C16H34NO2,CCCCCCCCCCCC[N+](C)(C)CC(=O)O,683-10-3,272.4466552734375,algea,0.9555114450274363,log(mg/L),"NITE, VEGA, Literature set",7693
540,C21H38N,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,7281-04-1,304.53314208984375,algea,-0.6931471805599453,log(mg/L),Literature set,7694
541,C14H31NO,CCCCCCCCCCCC[N+](C)(C)[O-],1643-20-5,229.40203857421875,algea,-1.6607312068216509,log(mg/L),"ECHA, NITE, VEGA, Literature set",7695
542,C18H31N,CCCCCCCCCCCCc1ccc(N)cc1,104-42-7,261.4454345703125,algea,-2.4418471603275536,log(mg/L),Literature set,7696
543,C10H22O,CCCCCCCCCCO,112-30-1,158.2810821533203,algea,-0.4462871026284195,log(mg/L),"NITE, VEGA, Literature set",1163
544,C12H24O2,CCCCCCCCCCOC(C)=O,112-17-4,200.31776428222656,algea,-2.1803674602697964,log(mg/L),ECHA,7697
545,C10H22O4S,CCCCCCCCCCOS(=O)(=O)O,142-87-0,238.3442840576172,algea,2.1564025828159643,log(mg/L),ECHA,7698
546,C16H27N,CCCCCCCCCCc1ccc(N)cc1,037529-30-9,233.3922882080078,algea,-2.8302178350764176,log(mg/L),"VEGA, Literature set",7699
547,C9H21N,CCCCCCCCCN,000112-20-9,143.26974487304688,algea,-0.8209805520698302,log(mg/L),"VEGA, Literature set",7700
548,C9H20O,CCCCCCCCCO,143-08-8,144.25450134277344,algea,0.6151856390902335,log(mg/L),"NITE, VEGA, Literature set",5147
549,C11H22O2,CCCCCCCCCOC(C)=O,143-13-5,186.2911834716797,algea,0.5877866649021191,log(mg/L),ECHA,7701
550,C17H26O3,CCCCCCCCCc1ccc(OCC(=O)O)cc1,3115-49-9,278.38653564453125,algea,3.303584552795155,log(mg/L),ECHA,7702
551,C30H46O,CCCCCCCCCc1ccccc1Oc1ccccc1CCCCCCCCC,9014-90-8,422.6856384277344,algea,5.310739886546594,log(mg/L),"NITE, VEGA, Literature set",7703
552,C8H19N,CCCCCCCCN,000111-86-4,129.2431640625,algea,0.5877866649021191,log(mg/L),"VEGA, Literature set",7704
553,C17H37N,CCCCCCCCN(C)CCCCCCCC,4455-26-9,255.48239135742188,algea,-2.525728644308256,log(mg/L),Literature set,7705
554,C12H27NO2,CCCCCCCCN(CCO)CCO,15520-05-5,217.3482818603516,algea,0.30010459245033816,log(mg/L),ECHA,7706
555,C12H23NO,CCCCCCCCN1CCCC1=O,2687-94-7,197.31712341308602,algea,2.9444389791664403,log(mg/L),ECHA,3781
556,C8H18O,CCCCCCCCO,000111-87-5,130.22792053222656,algea,3.3221541743217022,log(mg/L),"VEGA, Literature set",7707
557,C15H23NO2,CCCCCCCCOC(=O)c1ccc(N)cc1,14309-41-2,249.3486175537109,algea,-1.2909841813155656,log(mg/L),Literature set,7708
558,C10H22O2,CCCCCCCCOCCO,27252-75-1,174.28048706054688,algea,2.8903717578961645,log(mg/L),ECHA,7709
559,C8H19O3P,CCCCCCCCP(=O)(O)O,4724-48-5,194.2084197998047,algea,3.688879454113936,log(mg/L),ECHA,7710
560,C10H23NO,CCCCCCCC[N+](C)(C)[O-],2605-78-9,173.29571533203125,algea,3.8918202981106265,log(mg/L),ECHA,7711
561,C25H54N,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,5137-55-3,368.7029724121094,algea,-2.6592600369327783,log(mg/L),Literature set,7712
562,C14H22O,CCCCCCCCc1ccc(O)cc1,1806-26-4,206.32388305664062,algea,-1.8018098050815563,log(mg/L),"NITE, VEGA, Literature set",7713
563,C14H22O3S,CCCCCCCCc1ccc(S(=O)(=O)O)cc1,6149-03-7,270.3876953125,algea,4.68213122712422,log(mg/L),Literature set,7714
564,C7H17N,CCCCCCCN,000111-68-2,115.21658325195312,algea,1.7227665977411035,log(mg/L),"VEGA, Literature set",7715
565,C7H16O,CCCCCCCO,111-70-6,116.20133972167969,algea,3.487375077903208,log(mg/L),"ECHA, NITE, OASIS, ECOTOX, EPAFHM, Literature set",1176
566,C12H24O2,CCCCCCCOCC(C)CC=O,1093653-57-6,200.31776428222656,algea,1.1693813595563172,log(mg/L),ECHA,7716
567,C6H15N,CCCCCCN,000111-26-2,101.19000244140624,algea,3.218875824868201,log(mg/L),"VEGA, Literature set",1178
568,C18H39N,CCCCCCN(CCCCCC)CCCCCC,102-86-3,269.50897216796875,algea,-2.9187712324178627,log(mg/L),ECHA,7717
569,C12H27N,CCCCCCNCCCCCC,000143-16-8,185.3494873046875,algea,-0.00601807232556291,log(mg/L),"VEGA, Literature set",1180
570,C6H14O,CCCCCCO,111-27-3,102.1747589111328,algea,4.378269585796169,log(mg/L),"ECHA, ECOTOX, OASIS, EPAFHM, Literature set, VEGA",1181
571,C9H16O2,C=CC(=O)OCCCCCC,2499-95-8,156.22213745117188,algea,0.5988365010887039,log(mg/L),"ECHA, ECOTOX, OASIS, EPAFHM, Literature set, VEGA",1183
572,C8H16O2,CCCCCCOC(C)=O,142-92-7,144.21144104003906,algea,2.4849066497880004,log(mg/L),"ECHA, ECOTOX, OASIS, EPAFHM, Literature set, VEGA",1187
573,C12H24O2,CCCCCCOC1CCC(C)(C)O1,1497420-94-6,200.31776428222656,algea,2.6390573296152584,log(mg/L),ECHA,7718
574,C12H19NO,CCCCCCOc1ccc(N)cc1,039905-57-2,193.28536987304688,algea,0.8109302162163288,log(mg/L),"VEGA, Literature set",7719
575,C12H18O2,CCCCCCc1ccc(O)cc1O,136-77-6,194.2701263427734,algea,1.8309801823813363,log(mg/L),"ECHA, OASIS",1121
576,C15H33N,CCCCCN(CCCCC)CCCCC,621-77-2,227.4292297363281,algea,1.425515074273172,log(mg/L),Literature set,7720
577,C5H12O,CCCCCO,000071-41-0,88.14817810058594,algea,5.9140434001393976,log(mg/L),"VEGA, Literature set",1201
578,C13H18O2,CCCCCOC(=O)Cc1ccccc1,5137-52-0,206.28082275390625,algea,2.8678989020441064,log(mg/L),ECHA,7721
579,C20H44N,CCCCC[N+](CCCCC)(CCCCC)CCCCC,4965-17-7,298.570068359375,algea,0.2199384203652614,log(mg/L),Literature set,7722
580,C11H16O,CCCCCc1ccc(O)cc1,14938-35-3,164.244140625,algea,0.5596157879354227,log(mg/L),"NITE, VEGA, Literature set",7723
581,C4H11N,CCCCN,109-73-9,73.1368408203125,algea,2.8332133440562166,log(mg/L),"ECHA, ECOTOX, OASIS, EPAFHM, Literature set",1204
582,C6H15N,CCCCN(C)C,927-62-8,101.19000244140624,algea,2.19722457733622,log(mg/L),ECHA,7724
583,C6H14N2O,CCCCN(CC)N=O,4549-44-4,130.18815612792972,algea,3.951243718581428,log(mg/L),Literature set,1210
