,chemical_formula,smiles,casnum,molecular_weight,species,algea_EC50,units,source
130,C9H7NO,CC(=O)c1ccc(C#N)cc1,1443-80-7,145.15798950195312,algea,4.553876891600541,log(mg/L),Literature set
131,C12H10O,CC(=O)c1ccc2ccccc2c1,93-08-3,170.2071990966797,algea,2.186051276738094,log(mg/L),ECHA
132,C9H7F3O,CC(=O)c1cccc(C(F)(F)F)c1,349-76-8,188.14649963378903,algea,3.367295829986474,log(mg/L),ECHA
133,C8H7NO3,CC(=O)c1cccc([N+](=O)[O-])c1,121-89-1,165.14608764648438,algea,2.8273136219290276,log(mg/L),ECHA
134,C8H8O,CC(=O)c1ccccc1,98-86-2,120.14852142333984,algea,4.45898767581001,log(mg/L),"ECHA, ECOTOX, OASIS, EPAFHM, Literature set"
135,C7H7NO,CC(=O)c1ccccn1,1122-62-9,121.13658142089844,algea,6.717804695023691,log(mg/L),Literature set
136,C7H7NO,CC(=O)c1cccnc1,350-03-8,121.13658142089844,algea,5.990914395802501,log(mg/L),ECHA
137,C16H13NO,CC(C#N)c1cccc(C(=O)c2ccccc2)c1,42872-30-0,235.280517578125,algea,0.5933268452777344,log(mg/L),ECHA
138,C14H16ClN3O2,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,43121-43-3,293.7487487792969,algea,2.3978952727983707,log(mg/L),Literature set
139,C13H18O2,CC(C)(C)C(=O)OCCc1ccccc1,67662-96-8,206.28082275390625,algea,1.791759469228055,log(mg/L),ECHA
140,C5H10O2,CC(C)(C)C(=O)O,75-98-9,102.13169860839844,algea,4.189654742026425,log(mg/L),"NITE, Literature set"
141,C10H18O,CC(C)(C)C1CCC(=O)CC1,98-53-3,154.24932861328125,algea,4.0943445622221,log(mg/L),ECHA
142,C13H22O2,C=CC(=O)OC1CCC(C(C)(C)C)CC1,84100-23-2,210.3125915527344,algea,-0.6180397080731398,log(mg/L),ECHA
143,C10H20O,CC(C)(C)C1CCC(O)CC1,21862-63-5,156.26519775390625,algea,2.772588722239781,log(mg/L),ECHA
144,C8H19N,CC(C)(C)CC(C)(C)N,107-45-9,129.2431640625,algea,2.5877640352277083,log(mg/L),"ECHA, ECOTOX, OASIS, EPAFHM, Literature set"
145,C16H26O2,CC(C)(C)CC(C)(C)c1ccc(OCCO)cc1,9002-93-1,250.3764495849609,algea,4.430816798843313,log(mg/L),"NITE, VEGA, Literature set, ECOTOX"
146,C27H42NO2,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,121-54-0,412.6278991699219,algea,-1.2039728043259361,log(mg/L),ECHA
147,C20H25NO3,CC(C)(C)N(CC(=O)c1ccc(O)c(CO)c1)Cc1ccccc1,24085-08-3,327.41741943359375,algea,3.9318256327243257,log(mg/L),ECHA
148,C4H10O,CC(C)(C)O,75-65-0,74.1216049194336,algea,6.178336153375714,log(mg/L),"VEGA, Literature set"
149,C7H12O2,C=CC(=O)OC(C)(C)C,1663-39-4,128.16897583007812,algea,1.6639260977181702,log(mg/L),"ECHA, ECHA(10), ECHA(14)"
150,C17H27NO5,CC(C)(C)OC(=O)NC(C(=O)O)C12CC3CC(CC(O)(C3)C1)C2,361442-00-4,325.3999938964844,algea,4.0943445622221,log(mg/L),ECHA
151,C5H10O2,CC(C)(C)OC=O,762-75-4,102.13169860839844,algea,7.757906208351747,log(mg/L),Literature set
152,C8H18O2,CC(C)(C)OOC(C)(C)C,110-05-4,146.22732543945312,algea,3.58351893845611,log(mg/L),ECHA
153,C15H22O3,CC(C)(C)c1cc(C(=O)O)c(O)c(C(C)(C)C)c1,19715-19-6,250.33338928222656,algea,1.916922612182061,log(mg/L),"NITE, VEGA, Literature set"
154,C18H30O,CC(C)(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,000732-26-3,262.43020629882807,algea,-1.1394342831883648,log(mg/L),"VEGA, Literature set"
155,C14H22O,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,96-76-4,206.32388305664062,algea,-0.29437106060257756,log(mg/L),"ECHA, NITE, VEGA, Literature set"
156,C10H14O,CC(C)(C)c1ccc(O)cc1,98-54-4,150.21755981445312,algea,2.6390573296152584,log(mg/L),"ECHA, OASIS, ECOTOX, EPAFHM, Literature set, VEGA"
157,C10H14O,CC(C)(C)c1ccccc1O,88-18-6,150.21755981445312,algea,1.8718021769015913,log(mg/L),"ECHA, NITE, VEGA, Literature set"
158,C15H28O2,CC(C)(C1CCC(O)CC1)C1CCC(O)CC1,80-04-6,240.3816223144531,algea,4.394449154672439,log(mg/L),"NITE, VEGA, Literature set"
159,C19H20O4,CC(C)(COC(=O)c1ccccc1)COC(=O)c1ccccc1,4196-89-8,312.3597106933594,algea,1.3992105863864368,log(mg/L),ECHA
160,C17H28O6,C=CC(=O)OCCCOCC(C)(C)COCCCOC(=O)C=C,84170-74-1,328.400634765625,algea,2.3978952727983707,log(mg/L),ECHA
161,C3H6Cl2,CC(C)(Cl)Cl,594-20-7,112.9857406616211,algea,3.8066624897703196,log(mg/L),Aquatic ECETOC
162,C5H9N,C#CC(C)(C)N,2978-58-7,83.13166046142578,algea,4.836281906951478,log(mg/L),ECHA
163,C8H12N4,CC(C)(C#N)N=NC(C)(C)C#N,78-67-1,164.2076873779297,algea,1.5040773967762742,log(mg/L),ECHA
164,C12H11Cl2NO,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,23950-58-5,256.12783813476557,algea,0.8544153281560676,log(mg/L),"NITE, Literature set"
165,C12H16O4,CC(C)(O)C(=O)c1ccc(OCCO)cc1,106797-53-9,224.2530517578125,algea,4.580877493419047,log(mg/L),ECHA
166,C10H12O2,CC(C)(O)C(=O)c1ccccc1,7473-98-5,164.20108032226562,algea,0.6678293725756554,log(mg/L),ECHA
167,C14H16ClNO4,C=CCOC(=O)C(C)(C)OC(=O)c1cc(N)ccc1Cl,174489-43-1,297.734130859375,algea,3.0301337002713233,log(mg/L),ECHA
