,chemical_formula,smiles,casnum,molecular_weight,species,fish_LC50,units,source
55,C17H20N2,c1ccc(C(c2ccccc2)N2CCNCC2)cc1,841-77-0,252.3541107177734,fish,2.772588722239781,log(mg/L),ECHA
56,C11H12N2OS3,c1ccc2sc(SSN3CCOCC3)nc2c1,95-32-9,284.4207763671875,fish,-0.7139478163190247,log(mg/L),"NITE, Literature set"
57,C11H12N2OS2,c1ccc2sc(SN3CCOCC3)nc2c1,102772,252.35577392578125,fish,1.2478939913838643,log(mg/L),Literature set
58,C6H12N2,C1CN2CCN1CC2,280-57-9,112.17288208007812,fish,7.455876687491824,log(mg/L),"ECOTOX, EPAFHM, Literature set, VEGA"
59,C9H10N2,c1ccc(C2=NCCN2)cc1,936-49-2,146.18910217285156,fish,3.7612001156935624,log(mg/L),ECHA
60,C2H4O,C1CO1,75-21-8,44.05255889892578,fish,4.430660364818126,log(mg/L),"OASIS, VEGA, Literature set"
61,C4H9NO,C1COCCN1,110-91-8,87.120361328125,fish,5.857933154483459,log(mg/L),"ECHA, NITE, ECOTOX"
62,C4H8O2,C1COCCO1,000123-91-1,88.10511779785156,fish,9.230939446729751,log(mg/L),"VEGA, Literature set"
63,C12H12N2,c1cc[n+]2c(c1)-c1cccc[n+]1CC2,2764-72-9,184.2370758056641,fish,3.468783342112724,log(mg/L),"ECOTOX, OASIS, EFSA, VEGA, Literature set"
64,C12H10,c1cc2c3c(cccc3c1)CC2,83-32-9,154.2078094482422,fish,0.5306282510621704,log(mg/L),"NITE, VEGA, Literature set"
65,C9H10,c1ccc2c(c1)CCC2,496-11-7,118.17570495605469,fish,2.6299434065072407,log(mg/L),Literature set
66,C8H8O,c1ccc2c(c1)CCO2,496-16-2,120.14852142333984,fish,4.403054001865957,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
67,C8H12O2,C1CC2OC2CC1C1CO1,106-87-6,140.1796875,fish,2.70805020110221,log(mg/L),"NITE, VEGA, Literature set"
68,C8H8O,c1ccc(C2CO2)cc1,96-09-3,120.14852142333984,fish,2.174751721484161,log(mg/L),"VEGA, Literature set"
69,C4H6O,C1=CCOC1,1708-29-8,70.08984375,fish,4.545738602218665,log(mg/L),ECHA
70,C3H6O3,C1OCOCO1,110-88-3,90.07794189453124,fish,8.691146498539675,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
71,C13H10,c1ccc2c(c1)Cc1ccccc1-2,86-73-7,166.218505859375,fish,-0.19845093872383832,log(mg/L),"NITE, Literature set"
72,C4H4O2,C=C1CC(=O)O1,674-82-8,84.0733642578125,fish,2.174751721484161,log(mg/L),"NITE, VEGA, Literature set"
73,C3H3N,C=CC#N,107-13-1,53.06262207031249,fish,2.2669579153508947,log(mg/L),"NITE, VEGA, Literature set"
74,C7H10N2O2,C=CC(=O)NCNC(=O)C=C,110-26-9,154.16650390625,fish,5.479985049257097,log(mg/L),"Literature set, NITE, VEGA"
75,C9H14O2,C=CC(=O)OC1CCCCC1,3066-71-5,154.20626831054688,fish,0.3920420877760237,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
76,C18H24O4,C=CC(=O)OCC1CC2CC1C1CCC(COC(=O)C=C)C21,42594-17-2,304.3807678222656,fish,0.5007752879124892,log(mg/L),ECHA
77,C14H20O2,C=CC(=O)OCC1CCC2C3CCC(C3)C12,93962-84-6,220.30740356445312,fish,0.5877866649021191,log(mg/L),ECHA
78,C8H12O3,C=CC(=O)OCC1CCCO1,2399-48-6,156.1790771484375,fish,1.9906103279732201,log(mg/L),ECHA
79,C16H26O4,C=CC(=O)OCCCCCCCCCCOC(=O)C=C,13048-34-5,282.375244140625,fish,-1.9044803392921736,log(mg/L),ECHA
80,C12H18O4,C=CC(=O)OCCCCCCOC(=O)C=C,13048-33-4,226.2689208984375,fish,-0.9675840262617056,log(mg/L),"VEGA, Literature set"
81,C21H20O6,C=CC(=O)OCCCCOC(=O)Oc1ccc(C(=O)c2ccccc2)cc1,131513-00-3,368.3799133300781,fish,0.04879016416943205,log(mg/L),ECHA
82,C17H16O3,C=CC(=O)OCCOc1ccccc1-c1ccccc1,72009-86-0,268.30715942382807,fish,0.5077208088125119,log(mg/L),ECHA
