id,comp_id,species,daphnia_ec50,fish_lc50,algea_ec50,units,source
1450,8454,"alga, daphnia",240.0,"",130.0,mg/L,ECHA
1451,1276,"alga, daphnia, fish",26.0,32.3,22.0,mg/L,"NITE, VEGA, Literature set"
1452,8455,alga,"","",14.0,mg/L,ECHA
1453,7144,"daphnia, fish",0.249,0.95,"",mg/L,"Literature set, ECOTOX"
1454,1278,"alga, fish","",1482.0,623.0,mg/L,"ECHA, NITE, ECOTOX, OASIS, Literature set"
1455,8456,fish,"",0.990578721221999,"",mg/L,"Literature set"
1456,8457,fish,"",1.4,"",mg/L,ECOTOX
1457,8458,alga,"","",21.22,mg/L,ECHA
1458,1280,"daphnia, fish",2.493,2.09,"",mg/L,"VEGA, Literature set"
1459,8459,fish,"",1.1,"",mg/L,ECOTOX
1460,8460,daphnia,15.5,"","",mg/L,ECHA
1461,1281,daphnia,180.0,"","",mg/L,ECHA
1462,1287,fish,"",1300.0,"",mg/L,"ECOTOX, OASIS, Literature set, ECHA"
1463,8461,"alga, daphnia, fish",94.7,32.58,95.0,mg/L,ECHA
1464,5127,fish,"",13.0,"",mg/L,ECHA
1465,4941,fish,"",77.659,"",mg/L,"Literature set"
1466,1290,"alga, daphnia",42.5,"",41.3,mg/L,ECHA
1467,1291,"alga, fish","",1881.289,810.0,mg/L,"ECHA, NITE, Literature set"
1468,5153,"daphnia, fish",87.0,491.0,"",mg/L,ECHA
1469,8462,"daphnia, fish",1.007,4.1,"",mg/L,"ECHA, ECOTOX, ECOTOX-EPA(12), Literature set"
1470,1293,"alga, fish","",1.16984050552158,12.0,mg/L,"Literature set"
1471,1294,"alga, daphnia, fish",33.0,17.6918769449073,61.0,mg/L,"ECHA, NITE, ECOTOX, OASIS, EPAFHM, Literature set"
1472,1295,"alga, daphnia, fish",1.9,0.495532161043349,0.0025,mg/L,"NITE, VEGA, Literature set"
1473,8463,"alga, daphnia",21.83,"",67.3,mg/L,ECHA
1474,1299,"alga, daphnia, fish",3.65,9.6,8.7,mg/L,"NITE, ECOTOX, OASIS, VEGA, Literature set"
1475,1298,daphnia,0.26,"","",mg/L,"Aquatic ECETOC"
1476,8464,fish,"",110.0,"",mg/L,ECHA
1477,8465,daphnia,14.03,"","",mg/L,ECHA
1478,8466,daphnia,1.2,"","",mg/L,ECHA
1479,8467,fish,"",5.77,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, ECHA"
1480,1305,"alga, fish","",3.57784180223413,7.28,mg/L,"VEGA, Literature set"
1481,1308,"daphnia, fish",0.00663,0.75,"",mg/L,"ECOTOX, ECOTOX(22), ECOTOX-EPA(26)"
1482,1309,fish,"",8.0,"",mg/L,"ECOTOX(10), ECOTOX-EPA(10)"
1483,8468,alga,"","",179.0,mg/L,ECHA
1484,8469,"alga, daphnia",2.8,"",3.6,mg/L,"Literature set"
1485,8470,alga,"","",4.3,mg/L,"Literature set"
1486,8471,daphnia,3.53,"","",mg/L,ECHA
1487,8472,"alga, daphnia",4.1,"",2.84,mg/L,ECHA
1488,8473,fish,"",10.2,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
1489,8474,fish,"",5.08981737528908,"",mg/L,"OASIS, Literature set, VEGA"
1490,8475,"daphnia, fish",6.4,3.05,"",mg/L,"ECHA, ECOTOX"
1491,8476,"alga, daphnia, fish",0.34,3.29725830242161,1.35,mg/L,"NITE, Aquatic ECETOC, VEGA, Literature set"
1492,8477,daphnia,10.68,"","",mg/L,ECOTOX
1493,8478,fish,"",0.3535,"",mg/L,"ECOTOX, VEGA, Literature set"
1494,4556,"alga, fish","",308.655070177371,77.0,mg/L,"VEGA, Literature set"
1495,8479,"alga, daphnia, fish",28.7,124.0,6.89,mg/L,ECHA
1496,8480,daphnia,3.0,"","",mg/L,EFSA
1497,1314,"daphnia, fish",4.64703055877999,20.34,"",mg/L,"OASIS, ECOTOX"
1498,6246,daphnia,0.51,"","",mg/L,EFSA
1499,8481,"daphnia, fish",0.227672092160011,3.6,"",mg/L,"ECOTOX, OASIS, VEGA, Literature set"
1500,1319,fish,"",50.9,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
1501,8482,fish,"",3.18,"",mg/L,ECOTOX
1502,8483,"daphnia, fish",0.03,0.457294248589456,"",mg/L,"ECOTOX, OASIS, VEGA, Literature set"
1503,8484,"daphnia, fish",0.1,0.092,"",mg/L,"Aquatic ECETOC, OASIS, EFSA, VEGA, Literature set"
1504,8485,fish,"",46.0,"",mg/L,ECOTOX
1505,8486,"alga, daphnia, fish",1.02,3.26,0.33,mg/L,"VEGA, Literature set"
1506,8487,"daphnia, fish",0.094,0.0425,"",mg/L,"Literature set, ECOTOX"
1507,1323,daphnia,2.9801,"","",mg/L,"ECOTOX, EFSA"
1508,8488,daphnia,33.0,"","",mg/L,ECHA
1509,8489,daphnia,54.3,"","",mg/L,ECHA
1510,1329,daphnia,73.34,"","",mg/L,ECHA
1511,8490,daphnia,423.0,"","",mg/L,ECHA
1512,8491,"alga, daphnia",13.0,"",16.0,mg/L,ECHA
1513,4529,"daphnia, fish",37.8,10.8,"",mg/L,ECHA
1514,8492,"alga, fish","",6.4,16.0,mg/L,ECHA
1515,8493,"daphnia, fish",8.514,0.72,"",mg/L,"Literature set, ECOTOX"
1516,1341,"alga, daphnia, fish",91.5,60.0,672.0,mg/L,"ECHA, ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
1517,8494,"alga, daphnia",15.6,"",8.4,mg/L,ECHA
1518,4251,"daphnia, fish",2.11,0.89,"",mg/L,"EFSA, ECOTOX"
1519,6004,"daphnia, fish",7.0,2.4,"",mg/L,"NITE, VEGA, Literature set"
1520,1356,fish,"",0.1,"",mg/L,ECOTOX
1521,8495,daphnia,0.287,"","",mg/L,EFSA
1522,1360,fish,"",1.85,"",mg/L,ECHA
1523,8496,"alga, daphnia",6.42,"",21.8,mg/L,ECHA
1524,1363,fish,"",4.3,"",mg/L,ECOTOX
1525,8497,"alga, fish","",21.7,56.28,mg/L,"VEGA, Literature set"
