,chemical_formula,smiles,casnum,molecular_weight,species,daphnia_EC50,units,source
90,C11H20O,C=CCCCCCCCCC=O,112-45-8,168.27590942382812,daphnia,0.262364264467491,log(mg/L),ECHA
91,C14H20O4,C=CCOC(=O)C1CCCCC1C(=O)OCC=C,13846-31-6,252.30621337890625,daphnia,3.1793030497483774,log(mg/L),ECHA
92,C11H18O3,C=CCOC(=O)COC1CCCCC1,68901-15-5,198.2588195800781,daphnia,2.424802725718295,log(mg/L),ECHA
93,C11H12O3,C=CCOC(=O)COc1ccccc1,7493-74-5,192.211181640625,daphnia,0.7275486072772777,log(mg/L),ECHA
94,C14H14O4,C=CCOC(=O)c1cccc(C(=O)OCC=C)c1,1087-21-4,246.2585601806641,daphnia,1.7047480922384253,log(mg/L),ECHA
95,C14H14O4,C=CCOC(=O)c1ccccc1C(=O)OCC=C,131-17-9,246.2585601806641,daphnia,2.772588722239781,log(mg/L),"VEGA, Literature set"
96,C6H10O2,C=CCOCC1CO1,106-92-3,114.14240264892578,daphnia,3.912023005428146,log(mg/L),ECHA
97,C12H15N3O3,C=CCOc1nc(OCC=C)nc(OCC=C)n1,101-37-1,249.26580810546872,daphnia,3.688879454113936,log(mg/L),ECHA
98,C12H15N3O3,C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O,1025-15-6,249.26580810546875,daphnia,5.828945617610208,log(mg/L),ECHA
99,C7H10N2O,C=CN1CCN(C=C)C1=O,13811-50-2,138.16709899902344,daphnia,2.509599262378372,log(mg/L),ECHA
100,C3H5NO,C=CNC=O,13162-05-5,71.0779037475586,daphnia,4.955827057601261,log(mg/L),ECHA
101,C9H8O2,C=COC(=O)c1ccccc1,769-78-8,148.15863037109375,daphnia,2.302585092994046,log(mg/L),ECHA
102,C8H14O,C=COC1CCCCC1,2182-55-0,126.19615936279295,daphnia,3.737669618283368,log(mg/L),ECHA
103,C8H14O2,C=COCCCCOC=C,3891-33-6,142.195556640625,daphnia,3.0106208860477417,log(mg/L),ECHA
104,C8H14O3,C=COCCOCCOC=C,764-99-8,158.19496154785156,daphnia,5.459585514144159,log(mg/L),ECHA
105,C5H8O4S2,C=CS(=O)(=O)CS(=O)(=O)C=C,3278-22-6,196.2446136474609,daphnia,-1.203972804325936,log(mg/L),ECHA
106,C8H8,C=Cc1ccccc1,100-42-5,104.1491241455078,daphnia,1.547562508716013,log(mg/L),"Aquatic ECETOC, ECHA, ECOTOX, OASIS, ECOTOX-EPA(11), Literature set, VEGA"
107,C7H7N,C=Cc1ccccn1,100-69-6,105.1371841430664,daphnia,2.2491843162669305,log(mg/L),"ECHA, NITE, Literature set"
108,C7H7N,C=Cc1ccncc1,100-43-6,105.1371841430664,daphnia,0.1823215567939546,log(mg/L),"NITE, VEGA, Literature set"
109,CH3Br,CBr,74839,94.9385223388672,daphnia,0.7884573603642703,log(mg/L),"ECOTOX, OASIS, EFSA"
110,C4H5N,C=C(C)C#N,126-98-7,67.08920288085939,daphnia,5.3230099791384085,log(mg/L),"ECHA, NITE"
111,C15H33N3O2,C=C(C)C(=O)NCCC[N+](C)(C)CC(O)C[N+](C)(C)C,86702-10-5,287.4414367675781,daphnia,4.439941706620314,log(mg/L),ECHA
112,C8H14O2,C=C(C)C(=O)OC(C)(C)C,585-07-9,142.195556640625,daphnia,3.6635616461296463,log(mg/L),ECHA
113,C10H16O2,C=C(C)C(=O)OC1CCCCC1,101-43-9,168.23284912109375,daphnia,3.5234150143864045,log(mg/L),ECHA
114,C6H7F3O2,C=C(C)C(=O)OCC(F)(F)F,352-87-4,168.11380004882812,daphnia,2.9444389791664403,log(mg/L),"ECHA, NITE, Literature set, VEGA"
115,C20H28O4,C=C(C)C(=O)OCC1CC2CC1C1CCC(COC(=O)C(=C)C)C21,43048-08-4,332.4339294433594,daphnia,0.8586616190375187,log(mg/L),ECHA
116,C11H16O3,C=C(C)C(=O)OCC1CCC2OC2C1,82428-30-6,196.24295043945312,daphnia,4.423648309364701,log(mg/L),ECHA
117,C7H10O2,C=CCOC(=O)C(=C)C,000096-05-9,126.15310668945312,daphnia,0.8754687373538999,log(mg/L),"VEGA, Literature set"
118,C9H14N2O3,C=C(C)C(=O)OCCN1CCNC1=O,86261-90-7,198.21905517578125,daphnia,6.670766320845874,log(mg/L),ECHA
119,C9H15NO3,C=C(C)C(=O)OCCN1CCOC1,46235-93-2,185.2203063964844,daphnia,3.044522437723423,log(mg/L),ECHA
120,C10H14O4,C=C(C)C(=O)OCCOC(=O)C(=C)C,97-90-5,198.2157592773437,daphnia,3.8044377947482086,log(mg/L),ECHA
121,C16H26O7,C=C(C)C(=O)OCCOCCOCCOCCOC(=O)C(=C)C,109-17-1,330.3734436035156,daphnia,5.968707559985366,log(mg/L),ECHA
122,C10H14O,C=C(C)C1CC=C(C)C(=O)C1,6485-40-1,150.21755981445312,daphnia,3.6375861597263857,log(mg/L),ECHA
123,C10H16,C=C(C)C1CC=C(C)CC1,5989-27-5,136.23403930664062,daphnia,-1.18090753139494,log(mg/L),"ECHA, ECHA(26), ECOTOX, NITE"
124,C5H8,C=CC(=C)C,78-79-5,68.11701965332031,daphnia,1.1631508098056809,log(mg/L),"NITE, VEGA, Literature set"
125,C8H16,C=C(C)CC(C)(C)C,25167-70-8,112.212646484375,daphnia,0.1823215567939546,log(mg/L),ECHA
126,C16H28O,C=C(C)CC1CCCCCCCCCCC1=O,62599-49-9,236.39292907714844,daphnia,-0.7339691750802004,log(mg/L),ECHA
127,C5H8O2,C=C(C)OC(C)=O,108-22-5,100.1158218383789,daphnia,3.55162686068756,log(mg/L),ECHA
128,C25H44N2O3,C=C(C)OCC(C)(C)C=NCC1(C)CC(N=CC(C)(C)COC(C)=O)CC(C)(C)C1,1064082-81-0,420.6284790039063,daphnia,2.122021989214954,log(mg/L),ECHA
129,C9H10O,C=C(C)c1ccc(O)cc1,4286-23-1,134.17510986328122,daphnia,1.410986973710262,log(mg/L),"NITE, VEGA, Literature set"
130,C12H14,C=C(C)c1cccc(C(=C)C)c1,3748-13-8,158.23956298828125,daphnia,1.3862943611198906,log(mg/L),ECHA
131,C9H10,C=C(C)c1ccccc1,98-83-9,118.17570495605467,daphnia,0.4977403842173352,log(mg/L),"ECHA, NITE, Literature set"
132,C15H12F2N4O3,CC(=NNC(=O)Nc1cc(F)cc(F)c1)c1ncccc1C(=O)O,109293-97-2,334.277587890625,daphnia,1.7594084390103957,log(mg/L),Literature set
133,C14H22O,CC(=O)C(C)=CC1C(C)=CCCC1(C)C,127-51-5,206.32388305664065,daphnia,1.547562508716013,log(mg/L),ECHA
134,C3H3F3O,CC(=O)C(F)(F)F,421-50-1,112.05052947998048,daphnia,3.828641396489095,log(mg/L),ECHA
135,C5H7ClO,CC(=O)C1(Cl)CC1,63141-09-3,118.5614776611328,daphnia,3.4657359027997265,log(mg/L),ECHA
136,C21H30O3,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,68-96-2,330.46112060546875,daphnia,0.0440168854167742,log(mg/L),ECHA
137,C13H20O,CC(=O)C=CC1=C(C)CCCC1(C)C,79-77-6,192.2973022460937,daphnia,1.3937663759585917,log(mg/L),"ECHA, ECOTOX, OASIS, EPAFHM, Literature set"
138,C13H20O,CC(=O)C=CC1C(C)=CCCC1(C)C,127-41-3,192.2973022460937,daphnia,0.9745596399981308,log(mg/L),ECHA
