id,comp_id,molecule_chembl_id,species,mic,units,censoring,molecular_weight,assay_parameters,source,source_journal
4978,14429,CHEMBL3740096,"Escherichia coli",32.0,ug.mL-1,"'>'",451.5,"","Scientific Literature","Eur. J. Med. Chem."
4979,14430,CHEMBL4449846,"Escherichia coli",64.0,ug.mL-1,"'>'",409.4,"","Scientific Literature","Eur J Med Chem"
4980,14431,CHEMBL4454583,"Escherichia coli",16.0,ug.mL-1,"'='",531.61,"","Scientific Literature","Eur J Med Chem"
4981,10138,CHEMBL8,"Escherichia coli",12.5,ug.mL-1,"'='",331.35,"","Scientific Literature","Eur. J. Med. Chem."
4982,14432,CHEMBL4473233,"Escherichia coli",3.12,ug.mL-1,"'>='",473.49,"","Scientific Literature","Eur J Med Chem"
4983,14433,CHEMBL4475592,"Escherichia coli",128.0,ug.mL-1,"'='",595.8,"","Scientific Literature","Eur J Med Chem"
4984,14434,CHEMBL2419689,"Escherichia coli",32.0,ug.mL-1,"'>'",637.88,"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well"," NBS"," CORNING #3640  | TIME = 18.0 hr"
4985,11084,CHEMBL372795,"Escherichia coli",10.0,ug.mL-1,"'='",581.58,"","Scientific Literature","Eur J Med Chem"
4986,12942,CHEMBL4529581,"Escherichia coli",32.0,ug.mL-1,"'>'",681.67,"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well"," NBS"," CORNING #3640  | TIME = 18.0 hr"
4987,14435,CHEMBL4555694,"Escherichia coli",32.0,ug.mL-1,"'>'",683.81,"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well"," NBS"," CORNING #3640  | TIME = 18.0 hr"
4988,14436,CHEMBL3814528,"Escherichia coli",32.0,ug.mL-1,"'>'",681.68,"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well"," NBS"," CORNING #3640  | TIME = 18.0 hr"
4989,14437,CHEMBL4464606,"Escherichia coli",32.0,ug.mL-1,"'>'",343.34,"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well"," NBS"," CORNING #3640  | TIME = 18.0 hr"
