,species,smiles,MIC,units,censoring,molecular_weight,assay_parameters,source,source_journal
31,Escherichia coli,C[Si]1(C)OB(O)c2ccc(F)c(F)c21,5.991464547107982,log(ug/mL),'>',214.05,,Scientific Literature,Eur J Med Chem
32,Escherichia coli,CCCc1cc(O)cc2c1Oc1cc(O)c(Cl)c(CCC)c1C(=O)O2,4.852030263919617,log(ug/mL),'>',362.81,,Scientific Literature,J. Nat. Prod.
33,Escherichia coli,CC(=S)NC[C@H]1CN(c2ccc(-c3nnc4ncccn34)cc2)C(=O)O1,2.772588722239781,log(ug/mL),'>',368.42,,Scientific Literature,Bioorg. Med. Chem. Lett.
34,Escherichia coli,Cc1nc(SCC(=O)c2ccc(Cl)cc2)n(Nc2ccc(Cl)cc2)c1C,6.684611727667927,log(ug/mL),'=',406.34,,Scientific Literature,Bioorg. Med. Chem. Lett.
35,Escherichia coli,CCCC1=NOC(CCCCCCCCC(=O)OC)C1,4.605170185988092,log(ug/mL),'=',283.41,,Scientific Literature,Eur. J. Med. Chem.
36,Escherichia coli,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,-2.120263536200091,log(ug/mL),'=',361.37,,Scientific Literature,Bioorg. Med. Chem. Lett.
37,Escherichia coli,C[C@H]1NCCn2cc(-c3ccc4c(c3OC(F)F)N(C3CC3)CC(C(=O)O)C4=O)cc21,1.3862943611198906,log(ug/mL),'=',431.44,,Scientific Literature,Bioorg. Med. Chem. Lett.
38,Escherichia coli,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O)[C@H]2O)[C@H](N)[C@@H](OCc2ccc3ccccc3c2)[C@@H]1OCc1ccc2ccccc2c1,3.4657359027997265,log(ug/mL),'=',602.73,,Scientific Literature,J. Med. Chem.
39,Escherichia coli,O=[N+]([O-])c1c[nH]c(-c2nnc(C3(c4ccccc4)CC3)o2)c1,0.44468582126144574,log(ug/mL),'=',296.29,,Scientific Literature,Eur. J. Med. Chem.
40,Escherichia coli,Fc1ccc(/C=N/n2c(S)nnc2-c2cnccn2)cc1,3.2188758248682006,log(ug/mL),'=',300.32,,Scientific Literature,Bioorg. Med. Chem. Lett.
41,Escherichia coli,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(CCCN(CCC#N)C(=O)Nc2cccc3ccccc23)[C@H](C)[C@@H](O)[C@]1(C)O,2.0794415416798357,log(ug/mL),'=',1014.31,,Scientific Literature,Eur. J. Med. Chem.
42,Escherichia coli,O=[N+]([O-])c1c[nH]c(-c2nnc(-c3cccs3)o2)c1,0.44468582126144574,log(ug/mL),'=',262.25,,Scientific Literature,Eur. J. Med. Chem.
43,Escherichia coli,O=C(CSc1nc2ccccc2[nH]1)Nc1ccc(C(=O)/C=C/c2ccc(Br)cc2)cc1,3.4420193761824107,log(ug/mL),'=',492.40,,Scientific Literature,Med Chem Res
44,Escherichia coli,COc1ccccc1N1CCN(CC(=O)N/N=C\c2ccccc2O)CC1,3.4436180975461075,log(ug/mL),'=',368.44,,Scientific Literature,Eur. J. Med. Chem.
45,Escherichia coli,CCN1CC(=O)S/C1=N\c1ccc(N2CCN(c3cc4c(cc3F)c(=O)c(C(=O)O)cn4CC)CC2)c(F)c1,4.8283137373023015,log(ug/mL),'=',555.61,,Scientific Literature,Eur. J. Med. Chem.
46,Escherichia coli,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(c4ccc(NC(=O)NCc5ccccc5)cc4F)CC3)cc21,5.521460917862246,log(ug/mL),'=',561.59,,Scientific Literature,Eur. J. Med. Chem.
47,Escherichia coli,CC(C)CC(=O)NC[C@H]1CN(c2ccc(-c3nnc4ncccn34)cc2)C(=O)O1,2.772588722239781,log(ug/mL),'>',394.44,,Scientific Literature,Bioorg. Med. Chem. Lett.
48,Escherichia coli,C=CCCCCCCCCC(=O)N1C(=O)CSC1c1ccc(Cl)cc1,3.2188758248682006,log(ug/mL),'=',379.95,,Scientific Literature,Med Chem Res
49,Escherichia coli,O=C(Nc1ccc2ncnc(Sc3nnc(-c4cccnc4)o3)c2c1)Nc1ccccc1Cl,3.2188758248682006,log(ug/mL),'=',475.92,,Scientific Literature,Med Chem Res
50,Escherichia coli,CC(=O)c1cccc(N[C@H]2[C@H](N)[C@]3(NC(=O)O[C@H]3C)[C@@](C)(O)[C@@]2(O)CO)c1,4.852030263919617,log(ug/mL),'>',379.41,,Scientific Literature,Bioorg. Med. Chem.
51,Escherichia coli,CC(=O)c1cccc(N[C@H]2[C@H](N)[C@@](NC(=O)N(C)C)([C@H](C)O)[C@@](C)(O)[C@@]2(O)COC(=O)c2c(C)cccc2O)c1,2.772588722239781,log(ug/mL),'=',558.63,,Scientific Literature,Bioorg. Med. Chem.
52,Escherichia coli,CCCCCO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3CCO)OC[C@H]12)c1nsc(N)n1,2.0794415416798357,log(ug/mL),'=',582.63,,Scientific Literature,Bioorg. Med. Chem. Lett.
